Navn	Norrønt navn
Allvis	Allvís, «den som vet alt»
Andrimne	Andrimner, «en med sot i ansiktet»
Andvare	Andvari
Angerboda	Angrboða, «sorgvarsleren»
Aurboda	Eirboða
Aurvandil	Aurvandil
Balder	Balder, Baldr, Baldur
Bauge	Baugi
Bestla	Bestla
Bil	Bil
Bolthorn	Bölþorns
Bor	Borr
Brage	Bragi
Brokk	Brokkr
Bure	Búri
Byggve	Byggvir
Byleist	Byleistr
Delling	Dellingr
Driva	Drifa «snødrev»
Durin	Durinn
Dvalin	Dvalínn
Dåin	Dáin
Eir	Eir
Fenrisulven	Fenrisúlfr, Fenrir
Fjalar	Fjalarr
Fjorgyn (Jord)	Fjörgyn
Fonn	Fǫnn, «snøfonn»
Fornjot	Fornjótr
Forsete	Forsete
Frigg	Frigg, «den som elsker»
Frøy (Yngve-Frøy)	Freyr
Frøya	Freyja, «frue»
Fulla	Fulla
Fårbaute	Fárbauti, «den som slår hardt»
Galar	Galar
Geirrød	
Gerd	Gerðr, Gerð Gymisdóttir
Gersemi	Gersemi, «dyrbarhet»
Gilling	Gilling
Gjevjon	Gevjun
Gnå	Gná
Gondul	Góndul, «tryllestavbæreren»
Grid	Gríðr, «grådighet»
Groa	Gróa
Gunnlod	
Gyme	Gyme
Heid	
Heimdall	Heimdallr, «den klartlysende»
Hel	Hel, «den skjulte»
Helblinde	Helblindi
Hermod	Hermóðr, «kampmot»
Hild	Hildur
Hjuke	Hjúki
Hløkk	Hløkk
Hnoss (Noss)	Hnoss, «klenodium»
Hod	Hǫðr
Hræsvelg	Hræsvelg
Hyme	Hymir
Hyndla	Hyndla
Hyrrokkin	Hyrhrokkin, «skrukket av ild»
Høne	Hænir, «den hurtige»
Idunn	Iðunn, «evig ung»
Ilm	Ilmr, «vennlig duft»
Irpa	Irpa
Jernsaksa	Járnsaxa
Kvase	Kvasir
Lauvøy (Nål)	
Lin	Hlín
Lodur	Lóðurr
Loke	Loki
Lovn	Lofn, «den milde»
Magne	Magni, «den kraftfulle»
Meile	
Menglød	Menglöð, «den som er glad i smykker»
Midgardsormen	Miðgarðsormr
Mime	Mimir, «den kloke»
Mist	Mist
Mjoll	Mjǫll, «fint snøfokk»
Mode	Modhi
Modgunn	Móðguðr
Mokkurkalve	Mökkurkálfa
Mundilfare	Mundilfari
Muspell	
Nabbe	Nabbi
Naglfare	
Nanna	Nanna Nepsdóttir
Natt	
Njord	Njǫrðr
Njorun	Njörun
Norve (Narve)	Nǫrr
Od	Óðr
Odin	Óðinn, «ode» og «rasende»
Rimne	Hrímnir, «den som er dekket av rimfrost» el. «den sotete»
Rind	Rindr
Rist (Hrist)	Hrist
Rungne	Hrungnir, «bråkmakeren»
Rån	Rán, «hav»
Sigyn	Sigyn
Siv	Sif
Sjavn	Sjóvn
Skade	Skaði
Skjeggjold	Skjeggjøld
Skogul	Skøgul
Skuld	Skuld, «å skulle»
Snotra	Snotra
Snø (Snø den gamle)	Snjó el. Snær
Sol	Sól
Surt	Surtr
Suttung	Suttungr
Syn	Sýn
Såga	Sága, «hun som ser alt»
Tjatse	Þjazi
Tor	Þórr
Torgerd Hølgebrud	Þorgerðr Holgabrúðr
Torre	Þorri, «barfrost»
Trud	Trúður
Trym	Þrym
Ty (Tyr)	Týr el. Tívar
Ull	Ullr, «den ærerike»
Urd	Urd, «død»
Utgards-Loke	Útgarða-Loki
Vale	Váli
Var	Vǫr, «den varsomme»
Vavtrudne	Vafþrúðnir
Ve	Vé
Vedfinn	Viðfinnr
Verdande	Verdande, «det som er i ferd med å bli»
Vidar	Víðarr
Vilje	Vile
Våle	Váli
Vår	Vár
Yme	Yme
Æge	Ægir
